"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 17:57:04 CST 2019","Sun Dec 15 17:57:04 CST 2019","86","scripts","test_departments","TestDepartment","","","学院-增加-增加一条T002数据",""
"passed","Sun Dec 15 17:57:04 CST 2019","Sun Dec 15 17:57:05 CST 2019","442","scripts","test_departments","TestDepartment","","","学院-查询-查询T001的数据",""
"passed","Sun Dec 15 17:57:05 CST 2019","Sun Dec 15 17:57:05 CST 2019","148","scripts","test_departments","TestDepartment","","","学院-查询-查询T004的数据",""
"passed","Sun Dec 15 17:57:04 CST 2019","Sun Dec 15 17:57:04 CST 2019","74","scripts","test_departments","TestDepartment","","","学院-增加-增加一条数据",""
"passed","Sun Dec 15 17:57:05 CST 2019","Sun Dec 15 17:57:05 CST 2019","170","scripts","test_departments","TestDepartment","","","学院-更新-更新数据",""
"passed","Sun Dec 15 17:57:05 CST 2019","Sun Dec 15 17:57:05 CST 2019","182","scripts","test_departments","TestDepartment","","","学院-查询-查询T005的数据",""
"passed","Sun Dec 15 17:57:05 CST 2019","Sun Dec 15 17:57:05 CST 2019","84","scripts","test_departments","TestDepartment","","","学院-更新-更新数据",""
"passed","Sun Dec 15 17:57:05 CST 2019","Sun Dec 15 17:57:05 CST 2019","139","scripts","test_departments","TestDepartment","","","学院-查询-查询T003的数据",""
"passed","Sun Dec 15 17:57:04 CST 2019","Sun Dec 15 17:57:04 CST 2019","106","scripts","test_departments","TestDepartment","","","学院-增加-增加一条T001数据",""
"passed","Sun Dec 15 17:57:05 CST 2019","Sun Dec 15 17:57:05 CST 2019","131","scripts","test_departments","TestDepartment","","","学院-查询-查询T002的数据",""
"passed","Sun Dec 15 17:57:04 CST 2019","Sun Dec 15 17:57:04 CST 2019","67","scripts","test_departments","TestDepartment","","","学院-增加-增加一条数据",""
"passed","Sun Dec 15 17:57:04 CST 2019","Sun Dec 15 17:57:04 CST 2019","78","scripts","test_departments","TestDepartment","","","学院-增加-增加一条数据",""
